"species","X","Y"
"Corymbia citriodora",153.067797,-27.537527
"Corymbia citriodora",152.771408,-28.195183
"Corymbia citriodora",152.295486,-27.534481
"Corymbia citriodora",152.662858,-25.838227
"Corymbia citriodora",152.903167,-27.620767
"Corymbia citriodora",153.048238,-27.706543
"Corymbia citriodora",153.178842,-27.859852
"Corymbia citriodora",152.950303,-27.472978
"Corymbia citriodora",145.345672,-17.365122
"Corymbia citriodora",115.834272,-31.957179
"Corymbia citriodora",144.983333,-20.383333
"Corymbia citriodora",145.416667,-17.333333
"Corymbia citriodora",116.172694,-31.950257
"Corymbia citriodora",152.172517,-27.717028
"Corymbia citriodora",153.121595,-27.781042
"Corymbia citriodora",152.915818,-27.552246
"Corymbia citriodora",152.862947,-27.693758
"Corymbia citriodora",152.9075,-27.553905
"Corymbia citriodora",152.624995,-25.934677
"Corymbia citriodora",152.49799,-25.716165
"Corymbia citriodora",145.062506,-37.712758
"Corymbia citriodora",152.863845,-27.440263
"Corymbia citriodora",153.054219,-27.549731
"Corymbia citriodora",152.67826,-25.56012
"Corymbia citriodora",153.07745,-27.630357
"Corymbia citriodora",152.205003,-27.600378
"Corymbia citriodora",153.084934,-27.826599
"Corymbia citriodora",152.011294,-24.759305
"Corymbia citriodora",152.694687,-25.756662
"Corymbia citriodora",152.377242,-27.736847
"Corymbia citriodora",152.392442,-27.741297
"Corymbia citriodora",152.419976,-27.173028
"Corymbia citriodora",152.387308,-27.742911
"Corymbia citriodora",153.001603,-27.652912
"Corymbia citriodora",152.651587,-25.848478
"Corymbia citriodora",153.154324,-27.892007
"Corymbia citriodora",152.994888,-27.435088
"Corymbia citriodora",138.646231,-35.006938
"Corymbia citriodora",144.954,-37.841975
"Corymbia citriodora",152.03505,-27.471503
"Corymbia citriodora",152.22,-30.05
"Corymbia citriodora",152.8264,-28.5208
"Corymbia citriodora",152.28,-27.57
"Corymbia citriodora",144.7,-15.9
"Corymbia citriodora",151.13,-25.3
"Corymbia citriodora",152.78,-30.17
"Corymbia citriodora",150.965,-26.2275
"Corymbia citriodora",149.17,-23.75
"Corymbia citriodora",152.28,-28.92
"Corymbia citriodora",150.4,-23.7
"Corymbia citriodora",151.7119,-28.3136
"Corymbia citriodora",149.78,-23.75
"Corymbia citriodora",150.83,-26.33
"Corymbia citriodora",152.7211,-28.6692
"Corymbia citriodora",145.42,-17.33
"Corymbia citriodora",152.7917,-30.15
"Corymbia citriodora",145.25,-17.42
"Corymbia citriodora",145.5,-16.98
"Corymbia citriodora",151.47,-25.62
"Corymbia citriodora",145.37,-17.17
"Corymbia citriodora",144.83,-18.17
"Corymbia citriodora",150.5,-26.43
"Corymbia citriodora",152.17,-29.88
"Corymbia citriodora",152.737206,-29.000882
"Corymbia citriodora",152.550615,-29.411048
"Corymbia citriodora",152.7348,-29.988142
"Corymbia citriodora",153.226104,-29.304448
"Corymbia citriodora",152.786279,-28.55466
"Corymbia citriodora",152.778533,-28.636752
"Corymbia citriodora",152.697642,-29.006305
"Corymbia citriodora",152.525568,-29.036017
"Corymbia citriodora",152.708196,-29.630708
"Corymbia citriodora",152.745125,-29.967283
"Corymbia citriodora",153.068592,-29.750579
"Corymbia citriodora",153.073131,-29.813782
"Corymbia citriodora",152.120469,-27.504881
