"species","X","Y"
"Eucalyptus camaldulensis",115.421667,-30.11
"Eucalyptus camaldulensis",115.216667,-29.633333
"Eucalyptus camaldulensis",115.418611,-30.110833
"Eucalyptus camaldulensis",125.383333,-16.733333
"Eucalyptus camaldulensis",121.407556,-26.209861
"Eucalyptus camaldulensis",115.978333,-32.023889
"Eucalyptus camaldulensis",115.93,-21.628333
"Eucalyptus camaldulensis",115.866667,-32.75
"Eucalyptus camaldulensis",115.968611,-32.033917
"Eucalyptus camaldulensis",115.65,-29.866667
"Eucalyptus camaldulensis",151.165354,-32.561806
"Eucalyptus camaldulensis",153.050513,-28.866234
"Eucalyptus camaldulensis",146.78,-28.27
"Eucalyptus camaldulensis",147.85,-37.87
"Eucalyptus camaldulensis",142.92,-30.83
"Eucalyptus camaldulensis",151.67,-28.25
"Eucalyptus camaldulensis",147.65,-31.3
"Eucalyptus camaldulensis",151.17,-33.88
"Eucalyptus camaldulensis",144.93,-35.67
"Eucalyptus camaldulensis",150.5756,-26.8014
"Eucalyptus camaldulensis",148.05,-30.02
"Eucalyptus camaldulensis",148.3811,-24.3275
"Eucalyptus camaldulensis",147.7,-33.85
"Eucalyptus camaldulensis",148.08,-33.85
"Eucalyptus camaldulensis",141.23,-37.37
"Eucalyptus camaldulensis",142.83,-32.5
"Eucalyptus camaldulensis",148.6,-29.42
"Eucalyptus camaldulensis",148.9139,-34.5667
"Eucalyptus camaldulensis",141.776351,-30.907054
"Eucalyptus camaldulensis",142.33,-31.32
"Eucalyptus camaldulensis",149.112171,-30.749201
"Eucalyptus camaldulensis",141.67,-31.08
"Eucalyptus camaldulensis",147.52,-30.92
"Eucalyptus camaldulensis",147.02,-36.13
"Eucalyptus camaldulensis",146.064017,-32.220307
"Eucalyptus camaldulensis",151.95,-28.2
"Eucalyptus camaldulensis",146.67,-26.73
"Eucalyptus camaldulensis",148.08,-33.75
"Eucalyptus camaldulensis",145.937968,-30.087327
"Eucalyptus camaldulensis",145.836042,-33.340822
"Eucalyptus camaldulensis",145.25,-38.13
"Eucalyptus camaldulensis",143.27425,-35.652389
"Eucalyptus camaldulensis",145.109307,-35.819011
"Eucalyptus camaldulensis",147.460972,-33.224104
"Eucalyptus camaldulensis",150.723333,-28.649538
"Eucalyptus camaldulensis",145.039833,-35.891194
"Eucalyptus camaldulensis",146.720476,-35.525306
"Eucalyptus camaldulensis",143.851389,-34.358144
"Eucalyptus camaldulensis",144.948594,-35.866053
"Eucalyptus camaldulensis",145.726935,-33.341599
"Eucalyptus camaldulensis",145.028584,-35.842846
"Eucalyptus camaldulensis",144.990389,-35.879583
"Eucalyptus camaldulensis",145.32133,-33.416335
"Eucalyptus camaldulensis",145.01025,-35.841694
"Eucalyptus camaldulensis",150.979844,-32.500509
"Eucalyptus camaldulensis",151.027465,-32.482184
"Eucalyptus camaldulensis",150.863784,-32.173876
"Eucalyptus camaldulensis",145.734824,-33.336993
"Eucalyptus camaldulensis",147.524845,-30.750814
