"species","X","Y"
"Eucalyptus cinerea",148.828626,-35.27257
"Eucalyptus cinerea",150.29422,-33.724237
"Eucalyptus cinerea",146.716667,-36.283333
"Eucalyptus cinerea",146.7,-36.3
"Eucalyptus cinerea",149.083333,-34.95
"Eucalyptus cinerea",149.577084,-33.431221
"Eucalyptus cinerea",146.669468,-36.32018
"Eucalyptus cinerea",138.696828,-34.990071
"Eucalyptus cinerea",145.057972,-37.718151
"Eucalyptus cinerea",149.138029,-34.714702
"Eucalyptus cinerea",146.669208,-36.306023
"Eucalyptus cinerea",150.114683,-34.64669
"Eucalyptus cinerea",138.647605,-35.011668
"Eucalyptus cinerea",150.02,-34.7
"Eucalyptus cinerea",148.97,-35.53
"Eucalyptus cinerea",149.68,-33.13
"Eucalyptus cinerea",148.95,-35.53
"Eucalyptus cinerea",146.72,-36.28
"Eucalyptus cinerea",149.35,-35.58
"Eucalyptus cinerea",150.07,-34.83
"Eucalyptus cinerea",148.9942,-35.0056
"Eucalyptus cinerea",149.08,-34.95
"Eucalyptus cinerea",149.7,-34.15
"Eucalyptus cinerea",149.12,-34.6
"Eucalyptus cinerea",149.882897,-34.829142
"Eucalyptus cinerea",150.151195,-34.591095
"Eucalyptus cinerea",150.089407,-34.583623
"Eucalyptus cinerea",150.112618,-34.614876
"Eucalyptus cinerea",149.011843,-34.678351
"Eucalyptus cinerea",150.009178,-34.913558
"Eucalyptus cinerea",150.198452,-34.461681
"Eucalyptus cinerea",149.160329,-35.149602
"Eucalyptus cinerea",146.70504,-36.3004
"Eucalyptus cinerea",146.70506,-36.29982
"Eucalyptus cinerea",148.966667,-35.533333
"Eucalyptus cinerea",146.716667,-36.316667
"Eucalyptus cinerea",150.120278,-34.636111
"Eucalyptus cinerea",150.109722,-34.650278
"Eucalyptus cinerea",149.356201,-35.565428
"Eucalyptus cinerea",149.351205,-35.581773
"Eucalyptus cinerea",146.997179,-36.02431
"Eucalyptus cinerea",150.015341,-34.754082
"Eucalyptus cinerea",150.006003,-34.760236
"Eucalyptus cinerea",150.055568,-34.70411
"Eucalyptus cinerea",149.079589,-34.949026
"Eucalyptus cinerea",149.79318,-34.81769
"Eucalyptus cinerea",150.014248,-34.769883
"Eucalyptus cinerea",149.21185,-34.934528
"Eucalyptus cinerea",149.822293,-34.664861
"Eucalyptus cinerea",150.831935,-34.462207
"Eucalyptus cinerea",149.826951,-34.804942
"Eucalyptus cinerea",150.115457,-34.580533
"Eucalyptus cinerea",150.039081,-34.704891
"Eucalyptus cinerea",149.999714,-34.703367
"Eucalyptus cinerea",149.792869,-34.817813
"Eucalyptus cinerea",149.684503,-33.131769
"Eucalyptus cinerea",150.232791,-33.580551
"Eucalyptus cinerea",150.81618,-34.03876
"Eucalyptus cinerea",149.175816,-35.062333
"Eucalyptus cinerea",149.119962,-36.234533
"Eucalyptus cinerea",149.895329,-34.836819
"Eucalyptus cinerea",149.038264,-34.843798
"Eucalyptus cinerea",149.45,-34.9
"Eucalyptus cinerea",150.2667,-34.4833
"Eucalyptus cinerea",148.9667,-35.5333
"Eucalyptus cinerea",148.95,-35.5333
"Eucalyptus cinerea",146.6667,-36.2833
"Eucalyptus cinerea",140.380278,-37.459722
"Eucalyptus cinerea",146.75,-36.3333
"Eucalyptus cinerea",149.3667,-35.1
"Eucalyptus cinerea",146.75,-36.3167
"Eucalyptus cinerea",146.8833,-37.8167
"Eucalyptus cinerea",148.9667,-35.5417
"Eucalyptus cinerea",150.183616,-34.456721
"Eucalyptus cinerea",149.8875,-34.743333
"Eucalyptus cinerea",149.443467,-34.919716
"Eucalyptus cinerea",150.044729,-34.91703
"Eucalyptus cinerea",149.08695,-35.006112
"Eucalyptus cinerea",149.16062,-35.067974
"Eucalyptus cinerea",150.032995,-34.746005
"Eucalyptus cinerea",149.797961,-34.617796
"Eucalyptus cinerea",149.9848,-34.800602
"Eucalyptus cinerea",150.208266,-34.363964
"Eucalyptus cinerea",149.902276,-34.75028
"Eucalyptus cinerea",149.096494,-35.008697
"Eucalyptus cinerea",147.0001,-36.02845
"Eucalyptus cinerea",150.155917,-34.503669
"Eucalyptus cinerea",149.052278,-34.828225
"Eucalyptus cinerea",146.70521,-36.29992
"Eucalyptus cinerea",146.6846,-36.36513
"Eucalyptus cinerea",146.75127,-36.3318
"Eucalyptus cinerea",146.70917,-36.29374
"Eucalyptus cinerea",150.0012,-35.4985
"Eucalyptus cinerea",146.70519,-36.29977
"Eucalyptus cinerea",146.66794,-36.31513
"Eucalyptus cinerea",150.575371,-34.322834
"Eucalyptus cinerea",149.808358,-34.817713
"Eucalyptus cinerea",150.391411,-34.529
"Eucalyptus cinerea",150.759707,-34.477684
"Eucalyptus cinerea",151.133514,-33.933322
"Eucalyptus cinerea",149.850631,-34.825666
"Eucalyptus cinerea",149.951188,-34.8651
"Eucalyptus cinerea",150.019988,-34.882476
"Eucalyptus cinerea",149.717371,-33.268221
"Eucalyptus cinerea",150.218618,-34.472547
"Eucalyptus cinerea",149.161483,-35.008747
"Eucalyptus cinerea",150.016799,-34.773353
"Eucalyptus cinerea",150.010401,-34.772952
"Eucalyptus cinerea",149.813603,-34.687358
"Eucalyptus cinerea",149.989023,-34.709847
"Eucalyptus cinerea",149.084535,-34.948442
"Eucalyptus cinerea",146.996575,-36.024133
"Eucalyptus cinerea",150.011244,-34.809752
"Eucalyptus cinerea",149.096626,-35.009596
"Eucalyptus cinerea",149.913525,-34.520713
"Eucalyptus cinerea",150.993941,-33.728127
"Eucalyptus cinerea",148.940668,-35.310243
"Eucalyptus cinerea",146.70127,-36.29847
"Eucalyptus cinerea",146.68778,-36.27556
"Eucalyptus cinerea",149.367864,-34.998439
"Eucalyptus cinerea",149.445622,-34.904001
"Eucalyptus cinerea",148.967877,-35.531777
"Eucalyptus cinerea",148.995993,-34.472143
"Eucalyptus cinerea",150.054788,-34.630375
"Eucalyptus cinerea",150.12152,-34.585359
"Eucalyptus cinerea",149.168183,-34.918366
"Eucalyptus cinerea",138.644518,-35.010874
"Eucalyptus cinerea",146.6678,-36.32145
"Eucalyptus cinerea",146.70456,-36.30146
"Eucalyptus cinerea",146.8034,-36.27524
"Eucalyptus cinerea",146.67778,-36.35417
"Eucalyptus cinerea",146.69223,-36.2983
"Eucalyptus cinerea",148.976211,-35.54011
"Eucalyptus cinerea",146.71793,-36.2818
"Eucalyptus cinerea",146.68754,-36.3024
"Eucalyptus cinerea",150.217448,-34.397025
"Eucalyptus cinerea",149.701183,-34.148436
"Eucalyptus cinerea",149.684503,-33.148436
"Eucalyptus cinerea",150.991825,-33.824589
"Eucalyptus cinerea",149.717857,-34.748435
"Eucalyptus cinerea",148.848673,-35.275752
"Eucalyptus cinerea",149.886734,-34.552538
"Eucalyptus cinerea",149.939056,-34.610822
"Eucalyptus cinerea",149.6833,-33.1333
"Eucalyptus cinerea",146.723056,-36.278333
"Eucalyptus cinerea",149,-34.7
"Eucalyptus cinerea",148.9653,-35.5428
"Eucalyptus cinerea",148.9333,-34.6667
"Eucalyptus cinerea",149.9833,-34.8333
"Eucalyptus cinerea",146.71667,-36.28333
"Eucalyptus cinerea",150.13,-34.85
"Eucalyptus cinerea",148.98,-35.53
"Eucalyptus cinerea",149.3494,-35.5553
"Eucalyptus cinerea",150.1,-35.13
"Eucalyptus cinerea",150,-34.72
"Eucalyptus cinerea",149.35,-35.57
"Eucalyptus cinerea",150.1,-34.97
"Eucalyptus cinerea",149.2289,-35.6544
"Eucalyptus cinerea",150.001189,-34.758043
"Eucalyptus cinerea",149.998326,-34.82977
"Eucalyptus cinerea",149.804845,-34.660143
"Eucalyptus cinerea",150.577348,-34.215708
"Eucalyptus cinerea",148.951211,-35.531777
"Eucalyptus cinerea",151.187153,-33.705426
"Eucalyptus cinerea",150.016681,-34.765391
"Eucalyptus cinerea",148.92966,-34.410662
"Eucalyptus cinerea",146.997038,-36.024143
"Eucalyptus cinerea",151.217887,-33.681869
"Eucalyptus cinerea",150.125504,-34.532706
"Eucalyptus cinerea",149.948648,-34.625438
"Eucalyptus cinerea",149.949885,-34.715676
"Eucalyptus cinerea",150.029047,-34.613401
"Eucalyptus cinerea",150.042291,-34.607323
"Eucalyptus cinerea",149.09785,-35.010296
"Eucalyptus cinerea",149.158423,-34.942701
"Eucalyptus cinerea",149.481324,-34.945312
"Eucalyptus cinerea",149.683908,-34.775489
"Eucalyptus cinerea",149.901395,-34.764186
"Eucalyptus cinerea",149.837577,-34.853459
"Eucalyptus cinerea",149.869527,-34.82871
"Eucalyptus cinerea",150.101208,-35.9151
"Eucalyptus cinerea",150.001185,-34.7151
"Eucalyptus cinerea",149.182694,-34.99095
"Eucalyptus cinerea",149.99555,-34.731813
"Eucalyptus cinerea",149.843407,-34.695355
"Eucalyptus cinerea",150.110905,-34.648709
"Eucalyptus cinerea",149.093005,-35.009388
