"species","X","Y"
"Eucalyptus globulus",138.702554,-34.997478
"Eucalyptus globulus",143.676081,-38.735988
"Eucalyptus globulus",148.947267,-35.324117
"Eucalyptus globulus",147.320863,-42.977758
"Eucalyptus globulus",147.323945,-42.905924
"Eucalyptus globulus",145.716588,-36.931276
"Eucalyptus globulus",145.301752,-37.950814
"Eucalyptus globulus",145.263055,-37.55515
"Eucalyptus globulus",117.903056,-34.94
"Eucalyptus globulus",144.45,-37.666667
"Eucalyptus globulus",147.275,-42.941667
"Eucalyptus globulus",149.830672,-34.735955
"Eucalyptus globulus",147.401539,-42.881129
"Eucalyptus globulus",145.113109,-37.795573
"Eucalyptus globulus",145.838297,-38.146838
"Eucalyptus globulus",146.919836,-43.256134
"Eucalyptus globulus",147.331306,-42.908108
"Eucalyptus globulus",145.086685,-37.745318
"Eucalyptus globulus",146.279172,-38.97063
"Eucalyptus globulus",147.331958,-42.905826
"Eucalyptus globulus",146.372367,-38.642264
"Eucalyptus globulus",147.397597,-42.868133
"Eucalyptus globulus",151.111497,-33.808053
"Eucalyptus globulus",146.522588,-38.455521
"Eucalyptus globulus",148.306158,-41.874203
"Eucalyptus globulus",149.341886,-37.565864
"Eucalyptus globulus",147.260397,-43.063514
"Eucalyptus globulus",147.293207,-42.909455
"Eucalyptus globulus",143.280905,-37.299541
"Eucalyptus globulus",148.040937,-37.845017
"Eucalyptus globulus",147.296875,-42.906395
"Eucalyptus globulus",147.311857,-42.973967
"Eucalyptus globulus",146.913222,-41.22307
"Eucalyptus globulus",147.293164,-42.909467
"Eucalyptus globulus",143.347114,-37.068549
"Eucalyptus globulus",149.003736,-35.390944
"Eucalyptus globulus",145.005905,-37.790723
"Eucalyptus globulus",147.301647,-42.885805
"Eucalyptus globulus",147.327377,-42.999556
"Eucalyptus globulus",147.332522,-42.906171
"Eucalyptus globulus",152.2333,-30.8917
"Eucalyptus globulus",152.2,-30.87
"Eucalyptus globulus",146.22,-37.32
"Eucalyptus globulus",148.05,-37.77
"Eucalyptus globulus",150.12,-36.25
"Eucalyptus globulus",147.22,-36.82
"Eucalyptus globulus",147.2,-36.75
"Eucalyptus globulus",143.3,-37.05
"Eucalyptus globulus",146.2,-36.95
"Eucalyptus globulus",147.58,-37.07
"Eucalyptus globulus",149.82,-35.65
