"species","X","Y"
"Eucalyptus robusta",153.041628,-30.244319
"Eucalyptus robusta",145.12965,-38.371809
"Eucalyptus robusta",150.849516,-34.57005
"Eucalyptus robusta",153.073761,-26.498453
"Eucalyptus robusta",151.666667,-32.766667
"Eucalyptus robusta",153,-30.5
"Eucalyptus robusta",151.370986,-33.512667
"Eucalyptus robusta",151.214039,-33.547644
"Eucalyptus robusta",151.848569,-32.755863
"Eucalyptus robusta",153.163585,-27.623134
"Eucalyptus robusta",115.860332,-32.091811
"Eucalyptus robusta",153.142456,-28.125019
"Eucalyptus robusta",153.146062,-27.619596
"Eucalyptus robusta",153.427341,-29.091468
"Eucalyptus robusta",152.830594,-31.629465
"Eucalyptus robusta",151.288289,-33.684794
"Eucalyptus robusta",151.587928,-33.009418
"Eucalyptus robusta",150.84517,-34.570446
"Eucalyptus robusta",150.787926,-34.576027
"Eucalyptus robusta",150.845022,-34.569996
"Eucalyptus robusta",152.428926,-31.918962
"Eucalyptus robusta",152.98,-30.65
"Eucalyptus robusta",150.6,-34.88
"Eucalyptus robusta",151.23,-33.98
"Eucalyptus robusta",153.42,-29.1
"Eucalyptus robusta",152.13,-32.22
"Eucalyptus robusta",152.4808,-32.3992
"Eucalyptus robusta",152.48,-24.97
"Eucalyptus robusta",151.554676,-33.18724
"Eucalyptus robusta",150.690856,-35.008541
"Eucalyptus robusta",153.063225,-29.896445
"Eucalyptus robusta",151.420014,-33.343239
"Eucalyptus robusta",151.542768,-33.283918
"Eucalyptus robusta",152.442902,-32.37529
"Eucalyptus robusta",152.967154,-30.927666
"Eucalyptus robusta",151.722589,-32.807013
"Eucalyptus robusta",152.525292,-32.250223
"Eucalyptus robusta",151.5656,-33.1797
"Eucalyptus robusta",151.553271,-33.005462
"Eucalyptus robusta",153.161344,-29.679371
"Eucalyptus robusta",153.410379,-29.065166
"Eucalyptus robusta",152.92509,-31.444321
"Eucalyptus robusta",151.233033,-33.750006
"Eucalyptus robusta",152.32756,-32.50465
"Eucalyptus robusta",153.555735,-28.31308
"Eucalyptus robusta",151.475484,-33.260925
"Eucalyptus robusta",152.722785,-31.736746
"Eucalyptus robusta",150.690315,-34.148315
"Eucalyptus robusta",150.980361,-33.50624
"Eucalyptus robusta",152.960431,-30.517317
"Eucalyptus robusta",151.153479,-33.945397
"Eucalyptus robusta",152.855158,-31.444424
"Eucalyptus robusta",151.572705,-32.941189
"Eucalyptus robusta",151.513896,-33.211336
"Eucalyptus robusta",153.548665,-28.29492
"Eucalyptus robusta",152.353734,-32.497747
"Eucalyptus robusta",153.499562,-28.166608
"Eucalyptus robusta",152.037944,-32.732728
"Eucalyptus robusta",151.211337,-34.011676
"Eucalyptus robusta",153.021086,-30.523687
"Eucalyptus robusta",153.032478,-30.89
"Eucalyptus robusta",151.857333,-32.686308
"Eucalyptus robusta",151.616263,-33.185549
"Eucalyptus robusta",153.549204,-28.393877
"Eucalyptus robusta",151.294053,-33.669001
"Eucalyptus robusta",151.419729,-33.343542
"Eucalyptus robusta",151.622683,-33.186522
"Eucalyptus robusta",153.455195,-28.528784
"Eucalyptus robusta",153.2218,-28.68237
"Eucalyptus robusta",153.222195,-28.682568
"Eucalyptus robusta",153.223365,-28.68351
"Eucalyptus robusta",153.416667,-29.1
"Eucalyptus robusta",152.5258,-32.2625
"Eucalyptus robusta",153.232863,-27.632692
"Eucalyptus robusta",153.119323,-29.156341
"Eucalyptus robusta",152.169798,-32.722785
"Eucalyptus robusta",151.478391,-33.371078
"Eucalyptus robusta",152.505648,-32.086505
"Eucalyptus robusta",152.835525,-31.465621
"Eucalyptus robusta",153.378541,-28.304813
"Eucalyptus robusta",151.803444,-32.870463
"Eucalyptus robusta",151.830764,-32.809827
"Eucalyptus robusta",151.579846,-32.944139
"Eucalyptus robusta",151.119111,-34.034249
"Eucalyptus robusta",153.051218,-30.437675
"Eucalyptus robusta",151.334483,-33.631754
"Eucalyptus robusta",151.476145,-33.382864
"Eucalyptus robusta",153.499558,-28.166598
"Eucalyptus robusta",151.429773,-33.471081
"Eucalyptus robusta",153.049244,-28.849532
"Eucalyptus robusta",152.478605,-31.942302
"Eucalyptus robusta",151.47309,-33.397031
"Eucalyptus robusta",152.991755,-30.52232
"Eucalyptus robusta",152.085134,-32.77236
"Eucalyptus robusta",150.446949,-34.908815
"Eucalyptus robusta",150.71805,-34.959645
"Eucalyptus robusta",151.433466,-33.252718
"Eucalyptus robusta",151.291663,-33.747862
"Eucalyptus robusta",151.430401,-33.244671
"Eucalyptus robusta",151.658613,-33.051699
"Eucalyptus robusta",152.808473,-29.823045
"Eucalyptus robusta",151.419708,-33.343533
"Eucalyptus robusta",151.689692,-33.011141
"Eucalyptus robusta",151.75815,-32.813999
"Eucalyptus robusta",152.485948,-32.301857
"Eucalyptus robusta",151.079954,-33.782352
"Eucalyptus robusta",151.484761,-33.099245
"Eucalyptus robusta",152.513449,-32.201026
"Eucalyptus robusta",153.062251,-30.411915
"Eucalyptus robusta",152.983315,-30.818718
"Eucalyptus robusta",151.603637,-32.980755
"Eucalyptus robusta",152.464082,-32.240664
"Eucalyptus robusta",151.399268,-33.301467
"Eucalyptus robusta",151.684817,-32.762298
"Eucalyptus robusta",153.516247,-28.556338
"Eucalyptus robusta",151.429394,-33.426471
"Eucalyptus robusta",150.920238,-33.522816
"Eucalyptus robusta",152.507603,-32.091208
"Eucalyptus robusta",152.982522,-30.642167
"Eucalyptus robusta",151.285666,-33.690737
"Eucalyptus robusta",150.894811,-33.402956
"Eucalyptus robusta",151.59524,-33.021074
"Eucalyptus robusta",151.833239,-32.809342
"Eucalyptus robusta",151.572936,-33.176402
"Eucalyptus robusta",151.69151,-33.005076
"Eucalyptus robusta",152.277851,-32.50419
"Eucalyptus robusta",152.869528,-31.242826
"Eucalyptus robusta",151.277613,-33.728721
"Eucalyptus robusta",153.500748,-28.169991
"Eucalyptus robusta",153.548853,-28.31773
"Eucalyptus robusta",152.038998,-32.737941
"Eucalyptus robusta",151.579438,-33.140978
"Eucalyptus robusta",151.61787,-32.939541
"Eucalyptus robusta",151.556143,-33.23453
"Eucalyptus robusta",152.837733,-31.583758
"Eucalyptus robusta",152.874827,-31.430418
"Eucalyptus robusta",152.21745,-32.48658
"Eucalyptus robusta",150.759478,-34.376334
"Eucalyptus robusta",150.581353,-34.208068
"Eucalyptus robusta",153.360617,-28.840581
"Eucalyptus robusta",151.420098,-33.343358
"Eucalyptus robusta",151.416338,-33.324664
"Eucalyptus robusta",152.829337,-31.499655
"Eucalyptus robusta",151.462684,-33.247043
"Eucalyptus robusta",151.21174,-33.703475
"Eucalyptus robusta",151.741848,-32.798232
"Eucalyptus robusta",151.512023,-33.216318
"Eucalyptus robusta",151.304373,-33.677936
"Eucalyptus robusta",152.746794,-31.643139
"Eucalyptus robusta",151.945002,-32.796241
"Eucalyptus robusta",151.415484,-33.134229
"Eucalyptus robusta",151.512388,-33.141871
"Eucalyptus robusta",153.193219,-29.178937
"Eucalyptus robusta",152.228374,-32.488931
"Eucalyptus robusta",152.069012,-32.754441
"Eucalyptus robusta",152.089965,-32.772941
"Eucalyptus robusta",151.171576,-33.910883
"Eucalyptus robusta",152.063241,-32.710892
"Eucalyptus robusta",152.864146,-31.533935
"Eucalyptus robusta",151.646981,-33.0019
"Eucalyptus robusta",151.544288,-33.015369
"Eucalyptus robusta",151.494857,-33.232978
"Eucalyptus robusta",152.98265,-30.655479
"Eucalyptus robusta",151.29442,-33.69787
