"species","decimalLatitude","decimalLongitude"
"Eucalyptus saligna",-28.169975,153.191464
"Eucalyptus saligna",-33.7338,151.053833
"Eucalyptus saligna",-34.047887,151.089951
"Eucalyptus saligna",-26.684831,152.620558
"Eucalyptus saligna",-37.6,148.916667
"Eucalyptus saligna",-28.3195,152.6148
"Eucalyptus saligna",-32.967222,116.041667
"Eucalyptus saligna",-33.748293,151.138611
"Eucalyptus saligna",-33.737635,151.05158
"Eucalyptus saligna",-33.69962,151.087342
"Eucalyptus saligna",-33.742006,151.129101
"Eucalyptus saligna",-34.742316,150.582784
"Eucalyptus saligna",-28.410042,153.024084
"Eucalyptus saligna",-33.626638,151.0501
"Eucalyptus saligna",-28.330858,152.398344
"Eucalyptus saligna",-33.723033,151.092632
"Eucalyptus saligna",-33.905337,150.940245
"Eucalyptus saligna",-30.4739,152.5389
"Eucalyptus saligna",-33.4492,150.6319
"Eucalyptus saligna",-23.75,149.07
"Eucalyptus saligna",-33.67,150.95
"Eucalyptus saligna",-27.3222,152.7514
"Eucalyptus saligna",-30.7219,151.8867
"Eucalyptus saligna",-28.03,152.68
"Eucalyptus saligna",-33.15831,151.447811
"Eucalyptus saligna",-35.588811,150.046579
"Eucalyptus saligna",-32.318468,152.210159
"Eucalyptus saligna",-33.316567,151.409133
"Eucalyptus saligna",-34.623989,150.813473
"Eucalyptus saligna",-32.171305,152.013651
"Eucalyptus saligna",-33.504222,151.41584
"Eucalyptus saligna",-29.877625,152.146236
"Eucalyptus saligna",-33.804267,151.137484
"Eucalyptus saligna",-33.35585,151.387393
"Eucalyptus saligna",-29.554238,152.015734
"Eucalyptus saligna",-32.168494,151.64954
"Eucalyptus saligna",-33.81359,151.18524
"Eucalyptus saligna",-33.804539,150.998985
"Eucalyptus saligna",-32.271306,151.757631
"Eucalyptus saligna",-31.448181,152.117051
"Eucalyptus saligna",-32.166357,152.001094
"Eucalyptus saligna",-29.653948,152.383147
"Eucalyptus saligna",-33.062087,151.477842
"Eucalyptus saligna",-29.608165,152.481353
"Eucalyptus saligna",-33.728788,151.148749
"Eucalyptus saligna",-30.063802,152.634842
"Eucalyptus saligna",-33.11399,151.3965
"Eucalyptus saligna",-33.353439,151.402445
"Eucalyptus saligna",-31.186449,152.810301
"Eucalyptus saligna",-31.677766,151.575933
"Eucalyptus saligna",-33.808127,151.133354
"Eucalyptus saligna",-33.173756,151.481918
"Eucalyptus saligna",-33.431458,151.368225
"Eucalyptus saligna",-32.078338,151.714892
