"species","decimalLatitude","decimalLongitude"
"Eucalyptus sideroxylon",-28.206803,151.562903
"Eucalyptus sideroxylon",-34.928499,138.600746
"Eucalyptus sideroxylon",-38.061663,145.322873
"Eucalyptus sideroxylon",-32.353573,150.994158
"Eucalyptus sideroxylon",-28.208948,152.03509
"Eucalyptus sideroxylon",-37.956781,144.413275
"Eucalyptus sideroxylon",-34.531767,149.117879
"Eucalyptus sideroxylon",-34.466667,147.7
"Eucalyptus sideroxylon",-34.943452,138.599382
"Eucalyptus sideroxylon",-38.042378,145.369203
"Eucalyptus sideroxylon",-35.635491,144.136455
"Eucalyptus sideroxylon",-32.291884,148.709909
"Eucalyptus sideroxylon",-34.943612,138.599263
"Eucalyptus sideroxylon",-28.176675,151.640031
"Eucalyptus sideroxylon",-37.796905,144.912669
"Eucalyptus sideroxylon",-29.591697,151.395501
"Eucalyptus sideroxylon",-37.833714,144.983492
"Eucalyptus sideroxylon",-34.98545,138.592987
"Eucalyptus sideroxylon",-35.083919,138.538473
"Eucalyptus sideroxylon",-32.319303,150.339147
"Eucalyptus sideroxylon",-37.976997,145.195205
"Eucalyptus sideroxylon",-37.769291,144.999029
"Eucalyptus sideroxylon",-31.918962,152.428926
"Eucalyptus sideroxylon",-33.685094,150.83935
"Eucalyptus sideroxylon",-31.945231,148.868373
"Eucalyptus sideroxylon",-25.15,148.13
"Eucalyptus sideroxylon",-29.4417,151.25
"Eucalyptus sideroxylon",-33.8264,145.8425
"Eucalyptus sideroxylon",-32.03,150.73
"Eucalyptus sideroxylon",-33.53,147.25
"Eucalyptus sideroxylon",-33.92,148.42
"Eucalyptus sideroxylon",-34.15,147.38
"Eucalyptus sideroxylon",-34.5158,148.0419
"Eucalyptus sideroxylon",-33.92,146.47
"Eucalyptus sideroxylon",-31.98,148.73
"Eucalyptus sideroxylon",-34.65,147.25
"Eucalyptus sideroxylon",-32.35,148.48
"Eucalyptus sideroxylon",-26.75,151.97
"Eucalyptus sideroxylon",-33.9,147.32
"Eucalyptus sideroxylon",-32.23,146.5
"Eucalyptus sideroxylon",-32.05,146.25
"Eucalyptus sideroxylon",-32.73,150.3
"Eucalyptus sideroxylon",-33.9,147.23
"Eucalyptus sideroxylon",-33.88,150.98
"Eucalyptus sideroxylon",-32.03,149.1
"Eucalyptus sideroxylon",-26.15,150.33
"Eucalyptus sideroxylon",-32.87,148.5
"Eucalyptus sideroxylon",-32.73951,147.74348
"Eucalyptus sideroxylon",-30.438766,151.246393
"Eucalyptus sideroxylon",-30.219606,150.707808
"Eucalyptus sideroxylon",-33.271251,148.456863
"Eucalyptus sideroxylon",-35.372336,147.704156
"Eucalyptus sideroxylon",-34.518252,147.437961
"Eucalyptus sideroxylon",-33.262498,148.260967
"Eucalyptus sideroxylon",-34.079482,148.478243
"Eucalyptus sideroxylon",-32.684367,146.550441
"Eucalyptus sideroxylon",-34.246996,148.979802
"Eucalyptus sideroxylon",-31.973023,148.587112
"Eucalyptus sideroxylon",-33.857419,148.216761
"Eucalyptus sideroxylon",-32.883865,147.402167
"Eucalyptus sideroxylon",-33.660394,150.8037
"Eucalyptus sideroxylon",-32.627318,151.233717
"Eucalyptus sideroxylon",-31.728915,149.594092
"Eucalyptus sideroxylon",-34.577942,147.717565
"Eucalyptus sideroxylon",-35.38959,147.709426
"Eucalyptus sideroxylon",-33.68825,150.901509
"Eucalyptus sideroxylon",-33.640441,150.728557
"Eucalyptus sideroxylon",-34.035314,148.651129
"Eucalyptus sideroxylon",-32.18879,149.326443
"Eucalyptus sideroxylon",-34.062595,147.08739
"Eucalyptus sideroxylon",-31.333172,148.935193
"Eucalyptus sideroxylon",-33.984215,147.145204
"Eucalyptus sideroxylon",-33.918844,148.428276
"Eucalyptus sideroxylon",-31.12477,150.936173
"Eucalyptus sideroxylon",-32.201862,146.898283
"Eucalyptus sideroxylon",-29.451821,152.414092
"Eucalyptus sideroxylon",-34.042678,147.10958
"Eucalyptus sideroxylon",-32.050624,148.563557
"Eucalyptus sideroxylon",-34.528121,147.995052
"Eucalyptus sideroxylon",-33.881757,150.984493
"Eucalyptus sideroxylon",-34.080817,150.140095
"Eucalyptus sideroxylon",-32.669261,148.286937
"Eucalyptus sideroxylon",-37.61072,145.07355
"Eucalyptus sideroxylon",-36.24111,146.15861
"Eucalyptus sideroxylon",-37.83931,145.18878
"Eucalyptus sideroxylon",-37.58565,144.78723
"Eucalyptus sideroxylon",-36.7378,145.66114
"Eucalyptus sideroxylon",-33.861391,151.014573
"Eucalyptus sideroxylon",-34.433333,147.45
"Eucalyptus sideroxylon",-33.962222,150.933056
"Eucalyptus sideroxylon",-32.956667,150.096389
"Eucalyptus sideroxylon",-33.695833,150.770833
"Eucalyptus sideroxylon",-32.06,148.843333
"Eucalyptus sideroxylon",-36.17,146.62
"Eucalyptus sideroxylon",-32.2,148.47
"Eucalyptus sideroxylon",-34.910984,138.586808
"Eucalyptus sideroxylon",-30.529987,149.195919
"Eucalyptus sideroxylon",-32.115342,149.884993
"Eucalyptus sideroxylon",-32.032238,148.962449
"Eucalyptus sideroxylon",-34.138234,147.118406
"Eucalyptus sideroxylon",-33.69426,150.771994
"Eucalyptus sideroxylon",-35.001802,150.724078
"Eucalyptus sideroxylon",-35.346591,147.34753
"Eucalyptus sideroxylon",-34.027478,150.73903
"Eucalyptus sideroxylon",-32.040667,149.927774
"Eucalyptus sideroxylon",-33.818963,147.267029
"Eucalyptus sideroxylon",-32.040284,148.900866
"Eucalyptus sideroxylon",-30.410161,149.349008
"Eucalyptus sideroxylon",-32.908143,147.305189
"Eucalyptus sideroxylon",-34.446177,147.433655
"Eucalyptus sideroxylon",-32.825779,146.953461
"Eucalyptus sideroxylon",-33.912584,149.093848
"Eucalyptus sideroxylon",-35.380643,147.706937
"Eucalyptus sideroxylon",-35.336615,148.201178
"Eucalyptus sideroxylon",-34.034989,146.212573
"Eucalyptus sideroxylon",-33.847522,147.381696
"Eucalyptus sideroxylon",-32.955443,148.432186
"Eucalyptus sideroxylon",-32.909996,147.48944
"Eucalyptus sideroxylon",-33.82626,147.225986
"Eucalyptus sideroxylon",-34.153457,148.508716
"Eucalyptus sideroxylon",-34.340056,150.394158
"Eucalyptus sideroxylon",-34.064421,148.573572
"Eucalyptus sideroxylon",-30.817224,149.667716
"Eucalyptus sideroxylon",-31.974137,148.586183
"Eucalyptus sideroxylon",-33.898443,148.167872
"Eucalyptus sideroxylon",-32.947701,147.941078
"Eucalyptus sideroxylon",-34.009733,148.062881
"Eucalyptus sideroxylon",-34.53455,149.1049
"Eucalyptus sideroxylon",-32.407741,147.435085
"Eucalyptus sideroxylon",-33.279177,148.460871
"Eucalyptus sideroxylon",-34.182206,146.247033
"Eucalyptus sideroxylon",-31.882697,148.767597
"Eucalyptus sideroxylon",-29.940766,151.199976
"Eucalyptus sideroxylon",-35.392052,147.661217
"Eucalyptus sideroxylon",-32.454407,150.260732
"Eucalyptus sideroxylon",-33.770187,147.041935
"Eucalyptus sideroxylon",-32.42811,147.532972
"Eucalyptus sideroxylon",-30.34723,149.68407
"Eucalyptus sideroxylon",-31.1227,150.9407
"Eucalyptus sideroxylon",-32.698213,146.737818
"Eucalyptus sideroxylon",-32.864721,151.555278
"Eucalyptus sideroxylon",-30.265687,150.793622
"Eucalyptus sideroxylon",-32.654342,147.326441
"Eucalyptus sideroxylon",-31.920371,148.979434
"Eucalyptus sideroxylon",-32.683731,148.284958
"Eucalyptus sideroxylon",-33.869385,148.155437
"Eucalyptus sideroxylon",-33.648238,150.708593
"Eucalyptus sideroxylon",-34.982286,148.125345
"Eucalyptus sideroxylon",-31.355946,146.926682
"Eucalyptus sideroxylon",-32.307104,149.366958
"Eucalyptus sideroxylon",-32.580764,147.32662
"Eucalyptus sideroxylon",-34.137603,146.936135
"Eucalyptus sideroxylon",-34.010242,151.053467
"Eucalyptus sideroxylon",-32.026456,148.755836
"Eucalyptus sideroxylon",-29.580879,151.227424
"Eucalyptus sideroxylon",-33.134215,148.489903
"Eucalyptus sideroxylon",-33.987241,146.595199
"Eucalyptus sideroxylon",-33.812095,148.486815
"Eucalyptus sideroxylon",-32.269499,150.008564
"Eucalyptus sideroxylon",-34.3293,146.8622
"Eucalyptus sideroxylon",-33.153999,148.430414
"Eucalyptus sideroxylon",-32.631036,147.263446
"Eucalyptus sideroxylon",-31.38157,148.975192
"Eucalyptus sideroxylon",-31.176094,149.374921
