"species","decimalLatitude","decimalLongitude"
"Eucalyptus tereticornis",-24.828324,152.350425
"Eucalyptus tereticornis",-27.719421,152.443301
"Eucalyptus tereticornis",-27.953029,153.009932
"Eucalyptus tereticornis",-27.578614,152.367347
"Eucalyptus tereticornis",-27.138333,151.148889
"Eucalyptus tereticornis",-27.649388,153.084336
"Eucalyptus tereticornis",-25.638223,152.557068
"Eucalyptus tereticornis",-25.742575,152.926945
"Eucalyptus tereticornis",-36.704812,149.841864
"Eucalyptus tereticornis",-25.407247,152.552337
"Eucalyptus tereticornis",-27.500618,152.983245
"Eucalyptus tereticornis",-10,148
"Eucalyptus tereticornis",-27.448184,152.944411
"Eucalyptus tereticornis",-27.48392,152.751729
"Eucalyptus tereticornis",-25.523525,152.67325
"Eucalyptus tereticornis",-28.094804,153.450049
"Eucalyptus tereticornis",-35.994227,150.159507
"Eucalyptus tereticornis",-33.682101,150.890901
"Eucalyptus tereticornis",-25.388605,149.454767
"Eucalyptus tereticornis",-27.457267,153.015014
"Eucalyptus tereticornis",-27.163615,152.457989
"Eucalyptus tereticornis",-27.510125,152.939275
"Eucalyptus tereticornis",-9.1667,147.667
"Eucalyptus tereticornis",-24.616667,149.816667
"Eucalyptus tereticornis",-24.533333,148.35
"Eucalyptus tereticornis",-24,148.166667
"Eucalyptus tereticornis",-22.833333,148.933333
"Eucalyptus tereticornis",-26.333333,150.066667
"Eucalyptus tereticornis",-24.666667,149.133333
"Eucalyptus tereticornis",-24.933333,152.283333
"Eucalyptus tereticornis",-25.546194,152.583775
"Eucalyptus tereticornis",-27.740073,153.123469
"Eucalyptus tereticornis",-27.630974,153.117919
"Eucalyptus tereticornis",-27.712206,152.966628
"Eucalyptus tereticornis",-27.735877,152.76477
"Eucalyptus tereticornis",-27.543374,153.015061
"Eucalyptus tereticornis",-25.593421,151.623401
"Eucalyptus tereticornis",-27.539123,153.066163
"Eucalyptus tereticornis",-38.008008,147.648986
"Eucalyptus tereticornis",-28.832902,153.290192
"Eucalyptus tereticornis",-27.529114,152.452136
"Eucalyptus tereticornis",-27.663379,152.920225
"Eucalyptus tereticornis",-26.837063,153.117308
"Eucalyptus tereticornis",-16.8847,145.6477
"Eucalyptus tereticornis",-19.2063,146.6855
"Eucalyptus tereticornis",-23.355626,150.518884
"Eucalyptus tereticornis",-25.570878,152.321382
"Eucalyptus tereticornis",-26.5769,153.011292
"Eucalyptus tereticornis",-27.960682,152.581003
"Eucalyptus tereticornis",-28.12704,153.44178
"Eucalyptus tereticornis",-26.692973,152.836084
"Eucalyptus tereticornis",-26.92485,152.944023
"Eucalyptus tereticornis",-25.613751,151.592839
"Eucalyptus tereticornis",-28.820685,153.33845
"Eucalyptus tereticornis",-27.616767,152.246414
"Eucalyptus tereticornis",-27.496017,152.819962
"Eucalyptus tereticornis",-27.617733,152.2462
"Eucalyptus tereticornis",-36.511651,149.759715
"Eucalyptus tereticornis",-27.466025,152.367264
"Eucalyptus tereticornis",-38.011228,147.287017
"Eucalyptus tereticornis",-27.538303,152.959914
"Eucalyptus tereticornis",-25.582258,151.660828
"Eucalyptus tereticornis",-27.497289,152.967497
"Eucalyptus tereticornis",-27.571258,152.2296
"Eucalyptus tereticornis",-27.682665,153.050565
"Eucalyptus tereticornis",-27.666912,152.852601
"Eucalyptus tereticornis",-26.197715,152.704805
"Eucalyptus tereticornis",-27.538662,152.964172
"Eucalyptus tereticornis",-27.505526,153.01474
"Eucalyptus tereticornis",-25.62482,151.227935
"Eucalyptus tereticornis",-27.515361,152.258789
"Eucalyptus tereticornis",-16.8769,145.6741
"Eucalyptus tereticornis",-26.730438,153.086898
"Eucalyptus tereticornis",-25.472628,152.830732
"Eucalyptus tereticornis",-27.771458,152.981116
"Eucalyptus tereticornis",-27.433383,153.147819
"Eucalyptus tereticornis",-27.587131,152.921783
"Eucalyptus tereticornis",-35.698708,150.211188
"Eucalyptus tereticornis",-27.492153,152.96183
"Eucalyptus tereticornis",-19.468015,147.038889
"Eucalyptus tereticornis",-36.716487,149.698738
"Eucalyptus tereticornis",-27.990425,153.198173
"Eucalyptus tereticornis",-27.342995,153.098188
"Eucalyptus tereticornis",-27.505503,153.013747
"Eucalyptus tereticornis",-28.128259,153.470415
"Eucalyptus tereticornis",-23.78959,151.156953
"Eucalyptus tereticornis",-27.500641,152.983261
"Eucalyptus tereticornis",-26.603518,149.344455
"Eucalyptus tereticornis",-27.446162,152.930663
"Eucalyptus tereticornis",-27.561852,152.898959
"Eucalyptus tereticornis",-27.466625,152.142717
"Eucalyptus tereticornis",-27.556052,152.796433
"Eucalyptus tereticornis",-26.584931,151.806986
"Eucalyptus tereticornis",-27.746604,152.53831
"Eucalyptus tereticornis",-27.81256,153.157751
"Eucalyptus tereticornis",-27.604796,152.738105
"Eucalyptus tereticornis",-27.621692,152.395827
