"species","decimalLatitude","decimalLongitude"
"Eucalyptus viminalis",-38.008797,145.132937
"Eucalyptus viminalis",-38.931858,146.288055
"Eucalyptus viminalis",-35.170088,138.859863
"Eucalyptus viminalis",-36.542062,148.97963
"Eucalyptus viminalis",-37.892718,145.432267
"Eucalyptus viminalis",-35.343409,149.737881
"Eucalyptus viminalis",-37.932831,145.111822
"Eucalyptus viminalis",-33.415022,149.558846
"Eucalyptus viminalis",-37.467262,141.924176
"Eucalyptus viminalis",-38.6351,145.5735
"Eucalyptus viminalis",-36.222786,149.453558
"Eucalyptus viminalis",-36.223503,149.454782
"Eucalyptus viminalis",-37.031667,140.766358
"Eucalyptus viminalis",-37.826152,145.48598
"Eucalyptus viminalis",-36.543096,148.980573
"Eucalyptus viminalis",-42.996137,147.292293
"Eucalyptus viminalis",-37.8919,145.446778
"Eucalyptus viminalis",-36.150075,149.1474
"Eucalyptus viminalis",-37.812676,145.497227
"Eucalyptus viminalis",-36.816667,141.266667
"Eucalyptus viminalis",-41.416667,148.283333
"Eucalyptus viminalis",-37.916667,147.333333
"Eucalyptus viminalis",-36.816667,147.216667
"Eucalyptus viminalis",-37.984115,145.595674
"Eucalyptus viminalis",-35.186922,138.693208
"Eucalyptus viminalis",-37.898996,145.576549
"Eucalyptus viminalis",-37.89812,145.277885
"Eucalyptus viminalis",-36.150305,149.147492
"Eucalyptus viminalis",-37.724613,140.612095
"Eucalyptus viminalis",-33.327117,150.107625
"Eucalyptus viminalis",-37.813499,145.495204
"Eucalyptus viminalis",-37.836702,145.480065
"Eucalyptus viminalis",-35.679481,140.267517
"Eucalyptus viminalis",-37.9548,145.549362
"Eucalyptus viminalis",-37.743868,145.129064
"Eucalyptus viminalis",-37.892419,145.445724
"Eucalyptus viminalis",-42.976692,147.327788
"Eucalyptus viminalis",-42.862925,147.464242
"Eucalyptus viminalis",-37.899608,145.303772
"Eucalyptus viminalis",-42.822077,147.867162
"Eucalyptus viminalis",-37.618725,145.498245
"Eucalyptus viminalis",-37.89333,145.386458
"Eucalyptus viminalis",-37.71402,145.146011
"Eucalyptus viminalis",-38.223855,145.163778
"Eucalyptus viminalis",-37.984413,145.148925
"Eucalyptus viminalis",-37.940052,145.326587
"Eucalyptus viminalis",-37.938408,145.327178
"Eucalyptus viminalis",-33.146196,149.856925
"Eucalyptus viminalis",-38.062944,147.560384
"Eucalyptus viminalis",-38.319712,145.621333
"Eucalyptus viminalis",-38.002565,145.39267
"Eucalyptus viminalis",-37.760928,145.582962
"Eucalyptus viminalis",-38.660093,145.782737
"Eucalyptus viminalis",-37.89811,145.441998
"Eucalyptus viminalis",-38.409546,144.957912
"Eucalyptus viminalis",-37.931853,145.338575
"Eucalyptus viminalis",-35.064831,138.921219
"Eucalyptus viminalis",-36.595578,140.912353
"Eucalyptus viminalis",-36.597206,140.533172
"Eucalyptus viminalis",-35.468367,138.642033
"Eucalyptus viminalis",-35.090222,138.683162
"Eucalyptus viminalis",-38.134236,145.266037
"Eucalyptus viminalis",-35.459897,138.600114
"Eucalyptus viminalis",-33.399615,149.571923
"Eucalyptus viminalis",-33.399602,149.571051
"Eucalyptus viminalis",-33.398995,149.572522
"Eucalyptus viminalis",-33.398605,149.570657
"Eucalyptus viminalis",-33.398606,149.570149
"Eucalyptus viminalis",-33.397896,149.568348
"Eucalyptus viminalis",-35.47,138.35
"Eucalyptus viminalis",-32.17,151.2
"Eucalyptus viminalis",-35.27,138.77
"Eucalyptus viminalis",-31.82,151.32
"Eucalyptus viminalis",-38.17,147
"Eucalyptus viminalis",-35.12,138.85
"Eucalyptus viminalis",-33.42,149.62
"Eucalyptus viminalis",-32.88,150
"Eucalyptus viminalis",-42.57,147.9
"Eucalyptus viminalis",-34.63,150.08
"Eucalyptus viminalis",-42.03,147
"Eucalyptus viminalis",-37.7,140.58
"Eucalyptus viminalis",-37.97,141.87
"Eucalyptus viminalis",-35.37,149.73
"Eucalyptus viminalis",-37.42,141.88
"Eucalyptus viminalis",-29.8022,151.5275
"Eucalyptus viminalis",-33.7,150.05
"Eucalyptus viminalis",-33.68,149.83
"Eucalyptus viminalis",-35.77,140.33
"Eucalyptus viminalis",-33.92,150.13
"Eucalyptus viminalis",-37.9,147.75
"Eucalyptus viminalis",-37.92,144.27
"Eucalyptus viminalis",-36.6847,149.3419
"Eucalyptus viminalis",-35.25,150.08
"Eucalyptus viminalis",-38.95,146.27
"Eucalyptus viminalis",-36.83,149.45
"Eucalyptus viminalis",-30.27,150.17
"Eucalyptus viminalis",-36.28,149.48
"Eucalyptus viminalis",-37.92,147.33
"Eucalyptus viminalis",-37.18,147.67
"Eucalyptus viminalis",-32.52,149.98
"Eucalyptus viminalis",-33.25,149.67
"Eucalyptus viminalis",-37.82,144.28
"Eucalyptus viminalis",-38.45,145.47
"Eucalyptus viminalis",-37.55,142.02
"Eucalyptus viminalis",-37.8,148.58
"Eucalyptus viminalis",-35.43,149.8
"Eucalyptus viminalis",-33.83,150.02
"Eucalyptus viminalis",-32.97,149.85
"Eucalyptus viminalis",-38.32,142.65
"Eucalyptus viminalis",-35.97,148.37
