"species","X","Y"
"Phoracantha recurva",138.573656,-35.029414
"Phoracantha recurva",131.775755,-22.881897
"Phoracantha recurva",131.775756,-22.881897
"Phoracantha recurva",137.948267,-35.8438
"Phoracantha recurva",141.181,-35.2651
"Phoracantha recurva",137.27672,-35.9657
"Phoracantha recurva",137.948267,-35.8438
"Phoracantha recurva",149.152043,-35.259147
"Phoracantha recurva",150.379595,-35.553507
"Phoracantha recurva",149.75,-33.26667
"Phoracantha recurva",152.9333,-29.68333
"Phoracantha recurva",150.383301,-33.5
"Phoracantha recurva",152.7,-31.63333
"Phoracantha recurva",141.45,-31.96667
"Phoracantha recurva",149.600006,-30.200001
"Phoracantha recurva",153.05,-28.86667
"Phoracantha recurva",144.75,-36.13334
"Phoracantha recurva",150.5167,-34.88334
"Phoracantha recurva",150.58331,-34.21667
"Phoracantha recurva",151.3833,-33.38333
"Phoracantha recurva",152.9833,-29.56667
"Phoracantha recurva",151.1833,-33.88334
"Phoracantha recurva",150.2333,-33.73333
"Phoracantha recurva",141.0333,-31.8
"Phoracantha recurva",144.9,-35.81667
"Phoracantha recurva",149.9667,-32.8
"Phoracantha recurva",152.95,-29.08333
"Phoracantha recurva",148.65,-31.71667
"Phoracantha recurva",152.7833,-28.61667
"Phoracantha recurva",141.9167,-34.1
"Phoracantha recurva",141.45,-31.96667
"Phoracantha recurva",146.4167,-34.6
"Phoracantha recurva",138.7667,-34.28333
"Phoracantha recurva",147.5833,-34.86666
"Phoracantha recurva",151.216705,-33.883335
"Phoracantha recurva",149.7833,-30.33333
"Phoracantha recurva",147.3667,-35.11666
"Phoracantha recurva",141.45,-31.96667
"Phoracantha recurva",151.3833,-33.38333
"Phoracantha recurva",151.3833,-33.38333
"Phoracantha recurva",150.2333,-33.73333
"Phoracantha recurva",144.7667,-36.11666
"Phoracantha recurva",147.5833,-34.86666
"Phoracantha recurva",141.45,-31.96667
"Phoracantha recurva",141.45,-31.96667
"Phoracantha recurva",148.9167,-34.85
"Phoracantha recurva",144.9,-35.81667
"Phoracantha recurva",147.5833,-34.86666
"Phoracantha recurva",148.05,-32.25
"Phoracantha recurva",150.2333,-33.73333
"Phoracantha recurva",152.9833,-29.56667
"Phoracantha recurva",152.9833,-29.56667
"Phoracantha recurva",140.7333,-27.75
"Phoracantha recurva",149.7833,-30.33333
"Phoracantha recurva",149.75,-33.26667
"Phoracantha recurva",147.5833,-34.86666
"Phoracantha recurva",148.2167,-35.3
"Phoracantha recurva",147.3667,-35.11666
"Phoracantha recurva",151.1667,-33.88334
"Phoracantha recurva",151.35,-33.43333
"Phoracantha recurva",138.75,-34.6
"Phoracantha recurva",151.3833,-33.38334
"Phoracantha recurva",151.3833,-33.38333
"Phoracantha recurva",140.7333,-27.75
"Phoracantha recurva",143.6667,-35.5
"Phoracantha recurva",147.5833,-34.86666
"Phoracantha recurva",153.266693,-28.816669
"Phoracantha recurva",148.6167,-32.25
"Phoracantha recurva",150.683304,-33.616661
"Phoracantha recurva",141.73,-36.42
"Phoracantha recurva",141.73,-36.42
"Phoracantha recurva",150.73,-23.13
"Phoracantha recurva",145.03,-38.23
"Phoracantha recurva",152.48,-31.9
"Phoracantha recurva",144.97,-37.82
"Phoracantha recurva",145.23,-37.82
"Phoracantha recurva",145.37,-38.05
"Phoracantha recurva",142.18,-34.3
"Phoracantha recurva",145.18,-37.92
"Phoracantha recurva",144.43,-37.68
"Phoracantha recurva",142.33,-34.75
"Phoracantha recurva",144.97,-37.82
"Phoracantha recurva",142.33,-34.75
"Phoracantha recurva",145.08,-37.98
"Phoracantha recurva",147.32,-35.73
"Phoracantha recurva",148.68,-33.83
"Phoracantha recurva",145.68,-35.9
"Phoracantha recurva",149.1,-35.27
"Phoracantha recurva",138.72,-34.98
"Phoracantha recurva",133.82,-27.62
"Phoracantha recurva",138.92,-35.07
"Phoracantha recurva",139.63,-34.85
"Phoracantha recurva",139.63,-34.85
"Phoracantha recurva",139.63,-34.85
"Phoracantha recurva",139.63,-34.85
"Phoracantha recurva",139.63,-34.85
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",131.67,-14.7
"Phoracantha recurva",143.2,-13.95
"Phoracantha recurva",143.2,-13.95
"Phoracantha recurva",127.85,-15.18
"Phoracantha recurva",116.03,-32.83
"Phoracantha recurva",115.1,-21.63
"Phoracantha recurva",121.78,-32.2
"Phoracantha recurva",144.722932,-37.546405
"Phoracantha recurva",144.865875,-37.646775
"Phoracantha recurva",152.625053,-25.934781
"Phoracantha recurva",145.365171,-37.279041
"Phoracantha recurva",115.833701,-31.82313
"Phoracantha recurva",153.082533,-27.411053
"Phoracantha recurva",150.168604,-35.715017
"Phoracantha recurva",146.754259,-19.332951
"Phoracantha recurva",130.954104,-12.455534
"Phoracantha recurva",130.967493,-12.480435
"Phoracantha recurva",146.984917,-36.139023
"Phoracantha recurva",150.638928,-34.281741
"Phoracantha recurva",149.218039,-35.379594
"Phoracantha recurva",152.904434,-27.354142
"Phoracantha recurva",115.993605,-31.933575
"Phoracantha recurva",144.413823,-36.256932
"Phoracantha recurva",151.951108,-27.647557
"Phoracantha recurva",150.222455,-35.812531
"Phoracantha recurva",138.602103,-35.57424
"Phoracantha recurva",152.656263,-25.625436
"Phoracantha recurva",117.589273,-33.629366
"Phoracantha recurva",151.582245,-28.918492
"Phoracantha recurva",149.969539,-32.85745
"Phoracantha recurva",153.218249,-27.546944
"Phoracantha recurva",151.470299,-28.963572
"Phoracantha recurva",151.656893,-28.635823
"Phoracantha recurva",144.724504,-36.947116
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",146.843991,-19.15196
"Phoracantha recurva",152.646,-27.147
"Phoracantha recurva",153.153271,-27.457081
"Phoracantha recurva",152.804472,-27.539949
"Phoracantha recurva",143.299486,-37.243301
"Phoracantha recurva",152.125599,-28.39384
"Phoracantha recurva",150.068165,-36.382918
"Phoracantha recurva",152.18103,-32.678797
"Phoracantha recurva",149.902801,-37.244273
"Phoracantha recurva",151.094803,-33.076778
"Phoracantha recurva",145.000368,-37.740153
"Phoracantha recurva",145.052681,-37.723896
"Phoracantha recurva",150.898057,-31.1191
"Phoracantha recurva",150.068241,-36.382849
"Phoracantha recurva",115.819173,-31.929068
"Phoracantha recurva",150.229416,-35.779698
"Phoracantha recurva",149.153228,-35.19953
"Phoracantha recurva",138.6,-35
"Phoracantha recurva",116.655377,-31.723229
"Phoracantha recurva",149.141604,-35.331059
"Phoracantha recurva",149.050123,-35.208478
"Phoracantha recurva",149.050195,-35.20869
"Phoracantha recurva",149.153556,-35.261301
"Phoracantha recurva",149.152032,-35.259251
"Phoracantha recurva",149.05013,-35.208535
"Phoracantha recurva",149.073799,-35.266609
"Phoracantha recurva",149.154317,-35.261174
"Phoracantha recurva",149.049787,-35.208815
"Phoracantha recurva",148.857222,-36.868889
"Phoracantha recurva",149.078397,-35.384302
"Phoracantha recurva",149.113267,-35.259655
"Phoracantha recurva",150.3597,-28.6061
"Phoracantha recurva",138.587176,-34.944994
"Phoracantha recurva",138.607141,-34.925189
"Phoracantha recurva",144.54808,-38.207714
"Phoracantha recurva",142.195145,-34.305405
"Phoracantha recurva",133.876973,-23.703873
"Phoracantha recurva",149.902898,-37.244333
"Phoracantha recurva",149.150441,-35.256445
"Phoracantha recurva",146.748509,-19.296673
"Phoracantha recurva",149.204554,-21.426274
"Phoracantha recurva",148.984575,-35.09343
"Phoracantha recurva",153.026054,-26.611483
"Phoracantha recurva",150.195465,-35.802557
"Phoracantha recurva",141.883174,-12.627155
"Phoracantha recurva",148.780371,-26.575708
"Phoracantha recurva",132.41953,-14.318918
"Phoracantha recurva",152.526049,-31.900984
"Phoracantha recurva",152.41392,-31.931947
"Phoracantha recurva",141.883174,-12.627155
"Phoracantha recurva",152.955447,-25.758229
"Phoracantha recurva",119.3955,-32.613505
"Phoracantha recurva",138.457154,-35.18294
"Phoracantha recurva",138.599482,-35.072938
"Phoracantha recurva",152.526061,-31.900976
"Phoracantha recurva",115.598356,-31.342897
"Phoracantha recurva",149.147206,-37.566904
"Phoracantha recurva",138.570134,-35.136925
"Phoracantha recurva",146.085713,-37.047358
"Phoracantha recurva",151.7,-28.6
"Phoracantha recurva",149.150405,-35.25639
"Phoracantha recurva",151.33784,-29.786201
"Phoracantha recurva",138.48633,-35.041204
"Phoracantha recurva",142.319785,-31.296526
"Phoracantha recurva",149.075095,-35.37803
"Phoracantha recurva",144.410103,-36.257899
"Phoracantha recurva",144.410111,-36.429158
"Phoracantha recurva",138.664657,-34.920898
"Phoracantha recurva",149.152032,-35.259251
"Phoracantha recurva",149.154317,-35.261174
"Phoracantha recurva",145.058232,-37.749847
"Phoracantha recurva",144.539621,-38.254636
"Phoracantha recurva",149.153556,-35.261301
"Phoracantha recurva",145.336075,-35.877483
"Phoracantha recurva",151.33783,-29.786312
"Phoracantha recurva",144.866989,-37.646316
"Phoracantha recurva",152.919953,-26.823995
"Phoracantha recurva",133.888128,-23.695065
"Phoracantha recurva",146.800833,-19.282777
"Phoracantha recurva",152.400987,-31.941609
"Phoracantha recurva",144.076464,-38.464259
"Phoracantha recurva",152.058521,-27.268576
"Phoracantha recurva",153.101168,-27.34386
"Phoracantha recurva",138.601501,-34.88158
"Phoracantha recurva",151.98348,-28.029453
"Phoracantha recurva",136.781944,-12.1825
"Phoracantha recurva",136.781944,-12.1825
"Phoracantha recurva",138.726513,-34.772955
"Phoracantha recurva",152.526063,-31.900982
"Phoracantha recurva",149.11098,-35.301489
"Phoracantha recurva",138.413455,-35.159583
"Phoracantha recurva",149.153517,-35.261605
"Phoracantha recurva",139.273176,-35.119501
"Phoracantha recurva",152.400946,-31.941779
"Phoracantha recurva",149.100006,-35.26667
"Phoracantha recurva",152.400992,-31.941758
"Phoracantha recurva",152.806131,-25.284397
"Phoracantha recurva",152.400835,-31.941699
"Phoracantha recurva",149.476163,-22.43855
"Phoracantha recurva",146.085719,-37.047427
"Phoracantha recurva",151.668405,-24.61236
"Phoracantha recurva",146.44889,-19.38111
"Phoracantha recurva",146.800833,-19.282777
"Phoracantha recurva",151.300974,-25.595338
"Phoracantha recurva",144.423137,-37.657467
"Phoracantha recurva",145.429205,-37.213452
"Phoracantha recurva",128.741727,-15.705722
"Phoracantha recurva",151.640674,-30.496815
"Phoracantha recurva",152.400549,-31.941571
"Phoracantha recurva",152.41391,-31.931912
"Phoracantha recurva",150.659813,-23.030219
"Phoracantha recurva",153.287578,-28.840408
"Phoracantha recurva",150.733279,-23.035722
"Phoracantha recurva",149.109693,-21.109117
"Phoracantha recurva",152.681962,-26.444337
"Phoracantha recurva",152.40096,-31.941644
"Phoracantha recurva",114.712542,-28.81616
"Phoracantha recurva",152.413845,-31.931972
"Phoracantha recurva",142.674073,-37.014084
"Phoracantha recurva",133.860289,-23.708804
"Phoracantha recurva",152.525957,-31.901105
"Phoracantha recurva",152.400985,-31.941829
"Phoracantha recurva",147.086,-38.082
"Phoracantha recurva",139.9833,-34.18333
"Phoracantha recurva",140.350006,-36.099998
"Phoracantha recurva",140.566696,-34.450001
"Phoracantha recurva",138.1833,-32.81667
"Phoracantha recurva",139.9833,-34.18333
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",138.550003,-35.216667
"Phoracantha recurva",138.5833,-35.01667
"Phoracantha recurva",138.631195,-34.968109
"Phoracantha recurva",138.600006,-33.200001
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",138.5833,-35.01667
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",140.7333,-27.75
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",138.835754,-34.552219
"Phoracantha recurva",138.631195,-34.968109
"Phoracantha recurva",138.631195,-34.968109
"Phoracantha recurva",138.631195,-34.968109
"Phoracantha recurva",114.117775,-21.938612
"Phoracantha recurva",152.049172,-28.096175
"Phoracantha recurva",151.25,-27.183332
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",149.183334,-21.15
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",151.933334,-28.666666
"Phoracantha recurva",152.96666,-27.266666
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",149.383301,-27.01667
"Phoracantha recurva",151.96666,-27.6
"Phoracantha recurva",148.083298,-23.25
"Phoracantha recurva",151.866669,-28.75
"Phoracantha recurva",144.433334,-37.933334
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",148.040283,-24.911112
"Phoracantha recurva",152.933334,-27.516666
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",148.9333,-21.8333
"Phoracantha recurva",151.116669,-23.833334
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",152.28334,-27.566668
"Phoracantha recurva",152.449997,-27.48333
"Phoracantha recurva",142.649994,-38.333328
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153.066666,-27.333334
"Phoracantha recurva",152.333328,-27.566668
"Phoracantha recurva",150.600006,-24.533333
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.683334,-26.466667
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",153,-27.483334
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.933334,-26.85
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",136.816667,-15.733333
"Phoracantha recurva",144.96666,-37.816666
"Phoracantha recurva",153.016663,-27.466667
"Phoracantha recurva",152.28334,-27.566668
