"X","Y"
138.573656,-35.029414
131.775755,-22.881897
131.775756,-22.881897
137.948267,-35.8438
141.181,-35.2651
137.27672,-35.9657
150.379595,-35.553507
152.9333,-29.68333
150.5167,-34.88334
150.58331,-34.21667
152.9833,-29.56667
149.9667,-32.8
152.95,-29.08333
152.7833,-28.61667
145.03,-38.23
152.48,-31.9
138.92,-35.07
144.722932,-37.546405
144.865875,-37.646775
152.625053,-25.934781
145.365171,-37.279041
115.833701,-31.82313
153.082533,-27.411053
150.168604,-35.715017
146.754259,-19.332951
130.954104,-12.455534
130.967493,-12.480435
146.984917,-36.139023
150.638928,-34.281741
149.218039,-35.379594
152.904434,-27.354142
115.993605,-31.933575
144.413823,-36.256932
151.951108,-27.647557
150.222455,-35.812531
138.602103,-35.57424
152.656263,-25.625436
117.589273,-33.629366
151.582245,-28.918492
149.969539,-32.85745
153.218249,-27.546944
151.470299,-28.963572
151.656893,-28.635823
144.724504,-36.947116
146.843991,-19.15196
152.646,-27.147
153.153271,-27.457081
152.804472,-27.539949
143.299486,-37.243301
152.125599,-28.39384
150.068165,-36.382918
152.18103,-32.678797
149.902801,-37.244273
151.094803,-33.076778
145.000368,-37.740153
145.052681,-37.723896
150.898057,-31.1191
150.068241,-36.382849
115.819173,-31.929068
150.229416,-35.779698
138.6,-35
148.857222,-36.868889
149.078397,-35.384302
150.3597,-28.6061
138.587176,-34.944994
138.607141,-34.925189
144.54808,-38.207714
142.195145,-34.305405
133.876973,-23.703873
149.902898,-37.244333
146.748509,-19.296673
149.204554,-21.426274
148.984575,-35.09343
153.026054,-26.611483
150.195465,-35.802557
141.883174,-12.627155
148.780371,-26.575708
132.41953,-14.318918
152.526049,-31.900984
152.41392,-31.931947
152.955447,-25.758229
119.3955,-32.613505
138.457154,-35.18294
138.599482,-35.072938
152.526061,-31.900976
115.598356,-31.342897
149.147206,-37.566904
138.570134,-35.136925
146.085713,-37.047358
151.7,-28.6
151.33784,-29.786201
138.48633,-35.041204
142.319785,-31.296526
149.075095,-35.37803
144.410103,-36.257899
144.410111,-36.429158
138.664657,-34.920898
145.058232,-37.749847
144.539621,-38.254636
145.336075,-35.877483
151.33783,-29.786312
144.866989,-37.646316
152.919953,-26.823995
133.888128,-23.695065
146.800833,-19.282777
152.400987,-31.941609
144.076464,-38.464259
152.058521,-27.268576
153.101168,-27.34386
138.601501,-34.88158
151.98348,-28.029453
136.781944,-12.1825
138.726513,-34.772955
152.526063,-31.900982
138.413455,-35.159583
139.273176,-35.119501
152.400946,-31.941779
152.400992,-31.941758
152.806131,-25.284397
152.400835,-31.941699
149.476163,-22.43855
146.085719,-37.047427
151.668405,-24.61236
146.44889,-19.38111
151.300974,-25.595338
144.423137,-37.657467
145.429205,-37.213452
128.741727,-15.705722
151.640674,-30.496815
152.400549,-31.941571
152.41391,-31.931912
150.659813,-23.030219
153.287578,-28.840408
150.733279,-23.035722
149.109693,-21.109117
152.681962,-26.444337
152.40096,-31.941644
114.712542,-28.81616
152.413845,-31.931972
142.674073,-37.014084
133.860289,-23.708804
152.525957,-31.901105
152.400985,-31.941829
147.086,-38.082
140.350006,-36.099998
140.566696,-34.450001
138.550003,-35.216667
114.117775,-21.938612
152.049172,-28.096175
148.083298,-23.25
148.040283,-24.911112
150.600006,-24.533333
152.94477,-27.44307
146.81666,-19.26666
146.801,-19.2828
152.504,-32.377
153.052,-31.063
150.05,-25.45
150.016667,-25.433333
130.933334,-12.7
152.033325,-25.58333
134.3667,-23.58333
139.75,-35.51667
153.15,-27.05
141.7,-31.08333
133.883333,-23.633333
152.350006,-24.866671
150.3,-35.5
131.399994,-31.383329
133.8667,-23.7
150.4,-35.5
151.266663,-29.35
152.55,-27.11667
135.6833,-16.56667
150.850006,-33.76667
133.4167,-22.11667
152.0333,-25.58333
153.283333,-27.533333
114.6167,-28.66667
130.3667,-25.15
147.6333,-22.83333
152.4167,-24.76667
132.15,-11.15
114,-23.81667
141.233337,-36.76667
151.95,-27.56
142.2667,-34.76667
141.833328,-35.48333
146.183334,-36.316669
138.616667,-31.333333
135.899994,-33.5
145.066667,-17.416667
140.75,-34.166667
132.833328,-12.86667
145.883331,-32.849998
138.4,-30.71667
